coaster_name,Length,Speed,Location,Status,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,year_introduced,latitude,longitude,Type_Main,Opening Date
Zydeco Scream,935 ft (285 m),47 mph (76 km/h),Other,,Steel – Boomerang,Vekoma,Boomerang,116.5 ft (35.5 m),3.0,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Pontchartrain Beach,1:48,760 riders per hour,5.2,Arrow Dynamics,,,,,,,,,,,,,,,,,,,,,2000,,,Steel,
Batwing (roller coaster),"3,340 ft (1,020 m)",50 mph (80 km/h),Six Flags America,Operating,Steel – Flying,Vekoma,Flying Dutchman (1018m),115 ft (35 m),5.0,,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Gotham City,2:02,850 riders per hour,4.3,Vekoma,33°,103 ft (31 m),,,,,,,,,,,Flash Pass Available,,,,,,,,2001,38.9103,-76.7786,Steel,2001-06-16
California Screamin',"6,072 ft (1,851 m)",55 mph (89 km/h),Disney California Adventure,Operating,Steel – Launched,Intamin,Looping Coaster,122 ft (37 m),1.0,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,2001,33.8046,-117.9218,Steel,2001-02-08
Cheetah (Wild Adventures),"2,680 ft (820 m)",52 mph (84 km/h),Wild Adventures,Removed,Wood,Custom Coasters International,Steel frame,92 ft (28 m),0.0,Chain lift hill,"US$4,500,000",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Main Park,1:04,1200 riders per hour,,,,90 ft (27 m),,,,Out and back,,,"March 15, 2020",,,,,,,,,,,,2001,30.7196,-83.3257,Wood,2001-06-16
Colossos - Kampf der Giganten,"1,344 m (4,409 ft)",110 km/h (68 mph),Heide Park,Operating,Wood,Intamin,Wooden Coaster (prefabricated track),50.0 m (164.0 ft),0.0,Chain lift hill,,,Land der Vergessenen,2:25,"1,030 riders per hour","-1,5g and 4,5g",Werner Stengel,61°,48.5 m (159 ft),,,,Out and back,,,,,,,,,,,,,,,2001,53.0231,9.8833,Wood,2001-04-13
Cornball Express,"2,100 ft (640 m)",45 mph (72 km/h),Indiana Beach,Operating,Wood,Custom Coasters International,,55 ft (17 m),0.0,Chain,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,51 Seconds,,4.7,,,50 ft (15 m),,,,Wood,,,,,,,,,,,,,,,2001,40.7898,-86.771,Wood,2001-05-18
Déjà Vu (roller coaster),"367 m (1,204 ft)",105.6 km/h (65.6 mph),Other,In Production,Other,Vekoma,,59 m (194 ft),,,,,,About 1:32 minutes,870 riders per hour,,,,54 m (177 ft),,,,,,,,,,,,,,,Over-the-shoulder,,,,2001,,,Other,
Do-Dodonpa,"1,244 m (4,081 ft)",180 km/h (110 mph),Fuji-Q Highland,Closed,Steel,S&S – Sansei Technologies,Air-Launched Coaster,49 m (161 ft),1.0,Compressed air launch,,4 trains with 4 cars. Riders are arranged 2 across in a single row for a total of 8 riders per train.,,,80 riders per hour,,,,,,,,,,,,,,,,,,,,,0 to 180 km/h (0 to 112 mph) in 1.6 seconds,,2001,35.4877,138.7823,Steel,2001-12-21
Expedition GeForce,"4,002.7 ft (1,220.0 m)",74.6 mph (120.1 km/h),"Holiday Park, Germany",Operating,Steel,Intamin,,174 ft (53 m),0.0,,,,,1:15,1300 riders per hour,4.5,Werner Stengel,82°,168 ft (51 m),,,,,,,,,,,,,,,,,,,2001,49.32,8.295,Steel,2001-06-18
Flying Ace Aerial Chase,"1,122 ft (342 m)",26 mph (42 km/h),Kings Island,Operating,Steel – Family – Inverted,Vekoma,Suspended Family Coaster 342m,48.6 ft (14.8 m),0.0,Tire propelled lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Planet Snoopy,1:30,650 riders per hour,2.2,Peter Clerx,,,,Fast Lane available,,,,,,,,,,Must transfer from wheelchair,,,,,,,2001,,,Steel,2001-01-01
Giant Inverted Boomerang,"367 m (1,204 ft)",105.6 km/h (65.6 mph),Other,In Production,Other,Vekoma,,59 m (194 ft),,,,,,About 1:32 minutes,870 riders per hour,,,,54 m (177 ft),,,,,,,,,,,,,,,Over-the-shoulder,,,,2001,,,Other,
The Gold Coaster,"900 m (3,000 ft)",85 km/h (53 mph),Other,,Steel,Arrow Dynamics,,40 m (130 ft),2.0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,3,,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,2001,,,Steel,
Goofy's Sky School,"1,200 ft (370 m)",27 mph (43 km/h),Disney California Adventure,Operating,Steel – Wild Mouse,Mack Rides,,55 ft (17 m),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Paradise Gardens Park,1:45,,,Walt Disney Imagineering,,,,,,,,,"October 12, 2010(as Mulholland Madness)",,,,,Must transfer from wheelchair,,Single rider line available,,,,,2001,33.8063,-117.923,Steel,2001-02-08
Hypersonic XLC,"1,560 ft (480 m)",80 mph (130 km/h),Kings Dominion,Removed,Steel – Launched,S&S – Sansei Technologies,Thrust Air 2000,165 ft (50 m),0.0,Pneumatic,"$15,000,000 USD",,The Grove,16 seconds,"1,380 riders per hour",4.0,S&S – Sansei Technologies,90°,133 ft (41 m),,,,out-and-back,,,"October 28, 2007",,El Dorado WindSeeker,,,,,,,,0-80 in 1.8 seconds,,2001,37.8372,-77.446,Steel,2001-03-24
Incredicoaster,"6,072 ft (1,851 m)",55 mph (89 km/h),Disney California Adventure,Operating,Steel – Launched,Intamin,Looping Coaster,122 ft (37 m),1.0,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,2001,33.8046,-117.9218,Steel,2001-02-08
Insane Speed,"2,677.17 ft (816.00 m)",53.4 mph (85.9 km/h),Janfusun Fancyworld,Operating,Steel – Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,,4.0,Chain lift hill,,,,,1200 riders per hour,4,Werner Stengel,,131.25 ft (40.01 m),,,,,,,,,,,,,,,,,,,2001,23.6187,120.5758,Steel,2001-01-01
Lego Technic Test Track,"400 m (1,300 ft)",56.3 km/h (35.0 mph),Other,,Steel – Wild Mouse,Mack Rides,Wild Mouse (large park),15.8 m (52 ft),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,,2001,,,Steel,
MP Xpress,"689 m (2,260 ft)",80 km/h (50 mph),Movie Park Germany,Operating,Steel – Inverted,Vekoma,Suspended Looping Coaster (689m Standard),33.3 m (109 ft),5.0,,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,The Old West,1:36,1040 riders per hour,,,,,,,,,,,,,,,,,,,,,,,2001,51.6246,6.9733,Steel,2001-04-06
Mulholland Madness,"1,200 ft (370 m)",27 mph (43 km/h),Disney California Adventure,Operating,Steel – Wild Mouse,Mack Rides,,55 ft (17 m),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Paradise Gardens Park,1:45,,,Walt Disney Imagineering,,,,,,,,,"October 12, 2010(as Mulholland Madness)",,,,,Must transfer from wheelchair,,Single rider line available,,,,,2001,33.8063,-117.923,Steel,2001-02-08
Nitro (Six Flags Great Adventure),"5,394 ft (1,644 m)",80 mph (130 km/h),Six Flags Great Adventure,Operating,Steel,Bolliger & Mabillard,Hyper Coaster,230 ft (70 m),0.0,Chain lift hill,"$20,000,000",3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Adventure Seaport,2:20,1800 riders per hour,4.3,,68°,215 ft (66 m),,,,L-shaped Out and Back,,,,,,,Flash Pass Available,,,,,,,,2001,40.1356,-74.4444,Steel,2001-04-07
Phantom's Revenge,"3,200 ft (980 m)",85 mph (137 km/h),Kennywood,Operating,Steel,D. H. Morgan Manufacturing,Hyper Coaster,160 ft (49 m),0.0,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,3.5,,52°,228 ft (69 m),,,Laser Loop,Terrain Mega Coaster,,,,,,,,,,,,,,,2001,40.389,-79.866,Steel,1991-05-10
Silver Streak (Canada's Wonderland),"1,122.1 ft (342.0 m)",26 mph (42 km/h),Canada's Wonderland,Operating,Steel – Inverted,Vekoma,Suspended Family Coaster,48.6 ft (14.8 m),0.0,Booster Wheel Lift Hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,KidZville,1:16,650 riders per hour,,,,,,,,,,,,,,,,,,,,,,,2001,43.8424,-79.5462,Steel,2001-05-06
Talon (roller coaster),"3,110 ft (950 m)",58 mph (93 km/h),Dorney Park & Wildwater Kingdom,Operating,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster,135 ft (41 m),4.0,Chain lift hill,"$13,000,000 USD",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:00,1200 riders per hour,4.5,Werner Stengel,50°,120 ft (37 m),,Fast Lane available,,,,,,,,,,,,,,,,,2001,40.579,-75.53,Steel,2001-05-05
The Flash: Vertical Velocity,630 ft (190 m),65 mph (105 km/h),Six Flags Discovery Kingdom,SBNO (Standing But Not Operating),Steel – Launched – Inverted,Intamin,Shuttle coaster,150 ft (46 m),1.0,LIM,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,DC Universe,1:10,900 riders per hour,,Werner Stengel,90°,150 ft (46 m),,,,Twisted Impulse,,,,,,,Flash Pass Available,,,,,,0-60 mph in 4.0 seconds,,2001,38.1382,-122.2323,Steel,2001-06-08
Thundercoaster (TusenFryd),"950 m (3,120 ft)",93 km/h (58 mph),TusenFryd,Operating,Wood,Vekoma,,,0.0,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,2:00,,2.4,,57.3°,32 m (105 ft),,,,,,,,,,,,,,,,,,,2001,59.7472,10.7773,Wood,2001-05-01
Titan (Six Flags Over Texas),"5,312 ft (1,619 m)",85 mph (137 km/h),Six Flags Over Texas,Operating,Steel,Giovanola,Hyper Coaster,245 ft (75 m),0.0,Chain lift hill,,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Texas,3:30,1600 riders per hour,,Werner Stengel,,255 ft (78 m),"April 26, 2001",,,Twister,,"April 26, 2001",,,,Official website,Flash Pass Available,,,,,,,,2001,32.7556,-97.0742,Steel,2001-04-27
Vertical Velocity (roller coaster),630 ft (190 m),70 mph (110 km/h),Six Flags Great America,Temporarily closed,Steel – Inverted – Launched,Intamin,Shuttle Coaster,186 ft (57 m),0.0,LIM,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Yankee Harbor,,1100 riders per hour,,,,,,,,Twisted Impulse,,,,,,,Flash Pass Available,Must transfer from wheelchair,,,,,,,2001,42.3679,-87.9324,Steel,2001-05-18
Vonkaputous,"1,082.8 ft (330.0 m)",37.3 mph (60.0 km/h),Linnanmäki,Removed,Steel,Premier Rides,Liquid Coaster,79 ft (24 m),0.0,,"22,000,000 FIM (€4,600,000; inflation-adjusted)",,,1:00,,2.5,Werner Stengel,,,,,,,,,22 October 2017,,Taiga,,,,,,,,,,2001,60.1883,24.9381,Steel,2001-05-12
Wildfire (Silver Dollar City),"3,073 ft (937 m)",66 mph (106 km/h),Silver Dollar City,Operating,Steel,Bolliger & Mabillard,Sitting Coaster,120 ft (37 m),5.0,Chain lift hill,US$14 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Hugo's Hill Street,2:16,"1,300 riders per hour",3.6,Werner Stengel,63°,155 ft (47 m),,,,Custom,,,,,,,,,,,,,,,2001,36.6686,-93.3425,Steel,2001-04-04
Wile E. Coyote's Grand Canyon Blaster,,,"Arlington, Texas, U.S.",Operating,Other,,,,,,,,,,,,,,,,,,,,,,"August 4, 1961",,Official website,,,,,,,,,2001,32.7557,-97.0702,Other,
X-Flight (Geauga Lake),"3,340 ft (1,020 m)",50 mph (80 km/h),Other,,Steel – Flying,Vekoma,Flying Dutchman (1018m),115 ft (35 m),5.0,Chain lift hill,US$15 million,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,2:10,520 riders per hour,4.3,,33°,,"May 24, 2001",,,,,"May 24, 2001",,,Orion[1],,,,,,,,,,2001,,,Steel,
Apple Zapple (Kings Dominion),"1,312 ft (400 m)",35 mph (56 km/h),Kings Dominion,Operating,Steel – Wild Mouse,Mack Rides,Wild Mouse / Large Park,52 ft (16 m),0.0,Chain lift hill,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Candy Apple Grove,,960 riders per hour,,,,50 ft (15 m),,,,Wild Mouse,,,,,,,,,,,,,,,2002,,,Steel,2002-03-22
Avalancha (roller coaster),,54.7 mph (88.0 km/h),Xetulul Theme Park,Operating,Steel,Intamin,Muti-loop,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,Steel,2002-01-01
Batman: The Dark Knight (roller coaster),"2,850 ft (870 m)",55 mph (89 km/h),Six Flags New England,Operating,Steel – Floorless Coaster,Bolliger & Mabillard,Floorless Coaster[1],117.8 ft (35.9 m),5.0,Chain lift hill,"$9,500,000[2]",2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Gotham City,2:20,,,,,,,,,Twister,,,,,,,,,,Single rider line available,,Flash Pass available,,,2002,42.0353,-72.6131,Steel,2002-04-20
Batman: Arkham Asylum (roller coaster),,49.7 mph (80.0 km/h),Parque Warner Madrid,Operating,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster (Batman),105 ft (32 m),5.0,Chain lift hill,,,DC Super Heroes World,1:15,,4.9,,,,,,,,,,,,,,,,,,,,,,2002,40.2282,-3.5924,Steel,2002-04-06
Colossus (Thorpe Park),"2,789 ft (850 m)",45 mph (72 km/h),Thorpe Park,Operating,Steel,Intamin,Multi Inversion Coaster,98 ft (30 m),10.0,Chain lift hill,"£13,500,000",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost City,1:45,,4.2,Werner Stengel,,97 ft (30 m),,,,Intamin Tri Track,Fastrack available,,,,,,,,,,,,,Over the shoulder restraints,2002,51.4032,-0.513,Steel,2002-03-22
Escape from Madagascar,"342 m (1,122 ft)",41.8 km/h (26.0 mph),Dreamworld,Operating,Steel – Suspended Family Coaster,Vekoma,Suspended Family Coaster (342m),14.9 m (49 ft),0.0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks Experience - Madagascar Madness,1:30,650 riders per hour,2.2,,,,,,,,,,,,,,,,,,,,,,2002,-27.8639,153.3169,Steel,2002-12-26
Flying Coaster (Elitch Gardens),"1,282.8 ft (391.0 m)",25.7 mph (41.4 km/h),Other,,Steel – Flying,Zamperla,Volare,50 ft (15 m),2.0,Spiral Lift,,7 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Scream Zone,0:48,500 riders per hour,3.3,Werner Stengel,31°,17 ft (5.2 m),,,,,,,2007,,,,,,,,,,,,2002,,,Steel,
Galactica (roller coaster),"840 m (2,760 ft)",75 km/h (47 mph),Alton Towers,Operating,Steel – Flying,Bolliger & Mabillard,Flying Coaster,20 m (66 ft),2.0,Chain lift hill,£12 million,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Forbidden Valley,1:40,"1,500 riders per hour",3.5,John Wardley,,,,,,Custom,,,,,,,,,,,,,,,2002,52.9859,-1.8821,Steel,2002-03-16
Goliath (Walibi Holland),"1,214 m (3,983 ft)",106 km/h (66 mph),Walibi Holland,Operating,Steel,Intamin,,47.17 m (154.8 ft),0.0,Cable lift hill,,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Speed Zone,1:32,,,Ing.-Büro Stengel GmbH,70°,46.31 m (151.9 ft),,,,,,,,,,,,,,,,,,,2002,52.4386,5.7614,Steel,2002-03-29
Jubilee Odyssey,"2,924 ft (891 m)",63 mph (101 km/h),Fantasy Island (UK amusement park),Operating,Steel – Inverted,Vekoma,SLC (Custom),167 ft (51 m),5.0,Chain Lift Hill,£28 million,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,2:52,350 riders per hour,4.8,,75°,141 ft (43 m),,,,,,,,,,,,,,,,,,,2002,53.1922,0.3461,Steel,2002-05-23
Lego Technic Test Track,"400 m (1,300 ft)",56.3 km/h (35.0 mph),Other,,Steel – Wild Mouse,Mack Rides,Wild Mouse (large park),15.8 m (52 ft),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,,2002,,,Steel,
Lost Coaster of Superstition Mountain,"1,400 ft (430 m)",20 mph (32 km/h),Indiana Beach,Operating,Wood,Custom Coasters International,,35 ft (11 m),,Elevator Lift,,3 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,,,,,,,,,,Superstition Mountain Mine Ride,,,,,,,,,,,,,,,,2002,40.7886,-86.77,Wood,2002-06-06
New Mexico Rattler,"2,750 ft (840 m)",47 mph (76 km/h),Cliff's Amusement Park,Operating,Wood – Steel,,,80 ft (24 m),,,"$2,000,000",Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:15,,,,52°,75 ft (23 m),,,,Out and back,,,,,,,,,,,,,,,2002,35.143,-106.5884,Wood,2002-09-28
Primeval Whirl,"1,377.9 ft (420.0 m)",29.1 mph (46.8 km/h),Disney's Animal Kingdom,Removed,Steel – Spinning – Wild Mouse,Reverchon Industries,Spinning Coaster,42.7 ft (13.0 m),0.0,Chain lift hill,,,DinoLand U.S.A. - Chester & Hester's Dino-Rama,1:30,900 riders per hour,2.5,Walt Disney Imagineering,,,,,,Wild Mouse,,,"March 15, 2020",,,,,,,,,,,,2002,28.3564,-81.5877,Steel,2002-03-31
Ricochet (Carowinds),"1,214 ft (370 m)",28 mph (45 km/h),Carowinds,Operating,Steel – Wild Mouse,Mack Rides,,45.9 ft (14.0 m),0.0,Chain lift hill,,,Carolina Boardwalk,1:50,,,,,,,,,,,,,,,,,,,,,,,,2002,35.1042,-80.9428,Steel,2002-03-23
Rock 'n' Roller Coaster Starring Aerosmith,"3,267.7 ft (996.0 m)",57 mph (92 km/h),Other,,Steel – Enclosed – Launched,Vekoma,LSM Coaster,80 ft (24 m),3.0,LSM launch,,6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:22,"1,800 riders per hour",5,Walt Disney Imagineering,,,,,,,,,"September 2, 2019",,Iron Man-themed roller coaster,,,Must transfer from wheelchair,,Single rider line available,,,0 to 57 mph (0 to 92 km/h) in 2.8 seconds,,2002,,,Steel,
Roller Soaker,"1,300 ft (400 m)",20.5 mph (33.0 km/h),Hersheypark,Removed,Steel – Suspended,Setpoint USA,,70 ft (21 m),,Chain lift hill,,9 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,The Boardwalk,,,,,,,,,,,,,"September 3, 2012",,Breakers Edge Water Coaster,,,,,,,,,,2002,40.2914,-76.6531,Steel,2002-05-04
Rugrats Runaway Reptar (Dreamworld),"342 m (1,122 ft)",41.8 km/h (26.0 mph),Dreamworld,Operating,Steel – Suspended Family Coaster,Vekoma,Suspended Family Coaster (342m),14.9 m (49 ft),0.0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks Experience - Madagascar Madness,1:30,650 riders per hour,2.2,,,,,,,,,,,,,,,,,,,,,,2002,-27.8639,153.3169,Steel,2002-12-26
Scooby-Doo Spooky Coaster,"530 m (1,740 ft)",44.6 km/h (27.7 mph),Warner Bros. Movie World,Operating,Steel – Wild Mouse – Enclosed,Mack Rides,Custom,17 m (56 ft),0.0,Vertical Elevator Lift,"A$13,000,000[1]",18 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,4:13,1000 riders per hour,2.4,Warner Bros. Movie World,,10 m (33 ft),,,Warner Bros. Classics & Great Gremlins Adventure,,,,,,,,,,,,,,,,2002,-27.9078,153.3111,Steel,2002-06-17
Silver Star (roller coaster),"1,620 m (5,310 ft)",127 km/h (79 mph),Europa-Park,Operating,Steel,Bolliger & Mabillard,Hypercoaster,73 m (240 ft),0.0,Chain lift hill,,,France,,"1,750 riders per hour",4,,68.5°,67 m (220 ft),,,,Out and Back,,,,,,,,,,,,,,,2002,48.268,7.72,Steel,2002-03-23
Star Jet,,,Casino Pier,Removed,Steel,E&F Miler Industries,Hi-Miler,52 ft (16 m),,,,3 trains with 3 cars. Riders are arranged 2 across in a single row for a total of 6 riders per train.,,,,,,,,,,Jet Star,,,,"October 29, 2012",,Hydrus,,,,,,,,,,2002,39.9428,-74.0683,Steel,2002-01-01
Superman: La Atracción de Acero,"3,608.9 ft (1,100.0 m)",62.1 mph (99.9 km/h),Parque Warner Madrid,Operating,Steel – Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,164.1 ft (50.0 m),7.0,,,,,2:26,,,,,,,,,,,,,,,,,,,,,,,,2002,40.2277,-3.5906,Steel,2002-04-06
Superman: Ultimate Flight,"2,759–2,798 ft (841–853 m)",51 mph (82 km/h),Other,,Steel – Flying,Bolliger & Mabillard,Flying Coaster - Superman,106 ft (32 m),2.0,Chain lift hill,,"Two (Great America) or three (Over Georgia and Great Adventure) trains, with seven (Over Georgia) or eight (Great America or Great Adventure) cars. Riders are arranged four across in one row for a total of 28 (Over Georgia) or 32 (Great America or Great Adventure) riders per train.",,,1100-1500 riders per hour,3,,,100 ft (30 m),,,,,,,,,,,,,,,,Flash Pass available,,,2002,,,Steel,
Toboggan (Conneaut Lake Park),450 ft (140 m),,Conneaut Lake Park,Removed,Steel,Chance Rides,Toboggan,45 ft (14 m),,,,,,1:10,,,,,,,,,,,,2006,,,,,,,,,,,,2002,41.6341,-80.3137,Steel,2002-01-01
Tom & Jerry (roller coaster),"1,181 ft (360 m)",22 mph (35 km/h),Parque Warner Madrid,Operating,Steel – Family,Zierer,,26 ft (7.9 m),0.0,,,,Cartoon Village,1:05,1250 riders per hour,,,,,,,,,,,,,,,,,,,,,,,2002,40.2298,-3.5961,Steel,2002-04-06
Le Vampire,"2,700.2 ft (823.0 m)",50 mph (80 km/h),La Ronde,Operating,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster / Batman,105 ft (32 m),5.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,1:13 minutes,1400 riders per hour,4,,,,,,,,,,,,,,Flash Pass Available,,,,,,,,2002,45.5225,-73.5381,Steel,2002-05-18
Wicked Twister,675 ft (206 m),72 mph (116 km/h),Cedar Point,Closed,Steel – Inverted – Launched,Intamin,Twisted Impulse Coaster,215 ft (66 m),0.0,LIM Launch track,$9 million,Single train with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,,,1000 riders per hour,,Werner Stengel,90°,206 ft (63 m),"May 2, 2002",,Aquarium,,,"May 2, 2002","September 6, 2021",,,,,,,,,,,,2002,41.482,-82.6799,Steel,2002-05-05
Winja's Fear & Force,"1,345.17 ft (410.0 m)",37.25 mph (59.9 km/h),Other,Operating,Steel – Spinning – Indoor,Maurer AG,Xtended SC 3000,57.08 ft (17.4 m),,Elevator Lift,,,Wuze Town,,1440 riders per hour,,Werner Stengel,45°,,,,,,,,,,,,,,,,,,,,2002,50.8002,6.8777,Steel,2002-03-30
X2 (roller coaster),"3,610 ft (1,100 m)",76 mph (122 km/h),Six Flags Magic Mountain,Operating,Steel – 4th Dimension,Arrow Dynamics,4th Dimension Coaster,175 ft (53 m),2.0,Chain Lift,"$45,000,000 USD to build (2002)$10,000,000 USD to renovate (2008)[1]",3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Baja Ridge,,1600[2] riders per hour,4Gs,Alan SchilkeRenato Manzoni,88.5°,215 ft (66 m),"December 24, 2001",,,,,"December 24, 2001",,,,,,Must transfer from wheelchair,,,,,,,2002,34.421,-118.5929,Steel,2002-01-12
Xcelerator,"2,202 ft (671 m)",82 mph (132 km/h),Knott's Berry Farm,Operating,Steel – Launched,Intamin,Accelerator Coaster,205 ft (62 m),0.0,Hydraulic catch car launch,"$13,000,000",2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,The Boardwalk,1:02 (25 seconds from launch to brakes),"1,330 riders per hour",,Werner Stengel,90°,,,Fast Lane available,Windjammer Surf Racers,Dual Overbank Figure 8,,,,,,,,,,,,,0 − 82 mph (132 km/h) in 2.3 seconds,,2002,33.8458,-118.0008,Steel,2002-06-22
Atlantis Adventure,"2,198.1 ft (670.0 m)",46.6 mph (75.0 km/h),Lotte World,Operating,Steel,Intamin,Suspended looping coaster,72.2 ft (22.0 m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,Steel,2003-01-01
Balder (roller coaster),"1,070 m (3,510 ft)",90 km/h (56 mph),Liseberg,Operating,Wood,Intamin,Wooden Coaster (Prefabricated Track),36 m (118 ft),0.0,1 chain lift hill,"100 million SEK (=approx. $12,6 million)",2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,2:08,"1,200 riders per hour",,Ingenieurbüro Stengel GmbH,70°,30.5 m (100 ft),,,,,,,,,,,,,,,,,,,2003,57.6933,11.9961,Wood,2003-04-12
Batman: The Ride,"2,693 or 2,700 ft (821 or 823 m)",50 mph (80 km/h),Other,,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster – Batman,100 or 105 ft (30 or 32 m),5.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280–1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],,,,,,,,,,,,,,Single rider line available,Over-the-shoulder,Flash Pass available,,,2003,,,Steel,
Canyon Blaster (Great Escape),"2,000 ft (610 m)",45 mph (72 km/h),Other,,Steel – Mine Train,Arrow Development,Mine Train,56 ft (17 m),0.0,Chain lift hill,,,,2 min. 30 sec.,,,,,,,,,,,,1997,,,,,,,,,,,,2003,,,Steel,
