coaster_name,Length,Speed,Location,Status,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,year_introduced,latitude,longitude,Type_Main,Opening Date
Thunderhawk (Dorney Park),"2,767 ft (843 m)",45 mph (72 km/h),Dorney Park & Wildwater Kingdom,Operating,Wood,Philadelphia Toboggan Coasters,,80 ft (24 m),0.0,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:18,,,Herbert Paul Schmeck,45°,65 ft (20 m),,Fast Lane available,,Out and Back / Twister,,,,,,,,,,,,,,,1924,40.5798,-75.5355,Wood,1924-03-30
Big Dipper (Geauga Lake),"2,680 ft (820 m)",32 mph (51 km/h),Geauga Lake,Removed,Wood,,Out and Back roller coaster,65 ft (20 m),0.0,Chain lift hill,"USD$50,000",2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:45,,,John A. Miller,,,,,,,,,"September 16, 2007",,,,,,,,,,,,1925,41.3491,-81.378,Wood,1925-01-01
Cyclone (Revere Beach),"3,600 ft (1,100 m)",45 mph (72 km/h),Revere Beach,Removed,Wood,Traver Engineering,,100 ft (30 m),0.0,,"$125,000",,,,1400 riders per hour,,Frederick Church,,,,,,,,,1969,,,,,,,,,,,,1925,42.42,-70.986,Wood,1925-01-01
Giant Dipper (Belmont Park),"2,600 ft (790 m)",48 mph (77 km/h),Other,Operating,Wood,"Frank Prior, Fredrick Church",Twister,70 ft (21 m),0.0,Chain lift hill,,,,1:45,,,"Frank Prior, Fredrick Church",40 degrees at bottom of first drop°,60 ft (18 m),,,,"8 layers laminated wood strips with 1/4""x3"" wide steel rail",,,,,,,,,,,,,,,1925,,,Wood,1925-07-04
Jazz Railway,"1,200 ft (370 m)",,Rocky Glen Park,Removed,Wood,Traver Engineering,,26 ft (7.9 m),,Chain-lift,"less than $20,000",3 cars. Riders are arranged 2 across in a single row for a total of 6 riders per train.,,1 minute 30 seconds,,,Harry G. Traver,,,,,,,,,1927,,,,,,,,,,,,1925,41.3533,-75.7059,Wood,1925-01-01
Thunderbolt (1925 roller coaster),,,Coney Island,Removed,Wood,,,86 ft (26 m),,,,,,1:17,,,John A. Miller,,,,,,,,,1982,,,,,,,,,,,,1925,40.5739,-73.9825,Wood,1925-01-01
Thunderbolt (Savin Rock),"5,000 ft (1,500 m)",,Savin Rock,Removed,Wood,Traver Engineering,,92 ft (28 m),,,,,,,,,Frank Prior and Frederick Church,,,,,,,,,"September 21, 1938",,,,,,,,,,,,1925,41.257,-72.95,Wood,1925-05-05
Crystal Beach Cyclone,"2,953 ft (900 m)",60 mph (97 km/h),Crystal Beach Park,Removed,Wood,Traver Engineering,,96 ft (29 m),,Chain-lift,"$176,000 CDN",,Cyclone Bay,1:10,85 riders per hour,4 Gs,Harry G. Traver,59°,90 ft (27 m),,,,Twister,,,"September 2, 1946",,,,,,,,,,,,1926,42.8617,-79.0598,Wood,1926-01-01
Sesquicentennial Cyclone,"2,000 ft (610 m)",,Sesquicentennial Exposition,Removed,Wood,Traver Engineering,,60 ft (18 m),,,,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,,Harry G. Traver,,,,,,,,,"November 30, 1926",,,,,,,,,,,,1926,39.9087,-75.1733,Wood,1926-05-31
Tornado (Coney Island),"2,970 ft (910 m)",,Coney Island,Removed,Wood,,,71 ft (22 m),0.0,,"$250,000",,,,,,,,,,,,Twister,,,1977,,,,,,,,,,,,1926,40.574,-73.979,Wood,1926-01-01
